2026-01-04,food,150.0,lunch with friends
2026-01-04,transport,50.0,bus ticket
2026-01-04,House rent,5000.0,monthly rent
2026-01-04,groceries,3000.0,grocery payment
2026-01-04,entertainment,200.0,movie ticket
2026-01-04,education,600.0,online course fee
2026-01-04,mobile recharge,400.0,monthly recharge
2026-01-04,medical,500.0,doctor consultation
2026-01-04,shopping,800.0,new shirt purchase
2026-01-04,fuel,200.0,fuel for bike
2026-01-04,travel,8000.0,trip to munnar
2026-01-04,electricity bill,2000.0,electricity bill payment
2026-01-04,subscription,1000.0,netflix subscription
2026-01-04,water bill,500.0,municipal water bill
2025-12-01,food,150.0,lunch with friends
2025-12-02,transport,50.0,bus ticket
2025-12-03,house rent,5000.0,monthly rent
2025-12-04,groceries,3000.0,grocery shopping
2025-12-05,entertainment,200.0,movie ticket
2025-12-06,education,1000.0,online course fee
2025-12-07,moblie recharge,400.0,monthly recharge
2025-12-08,medical,500.0,doctor consultation
2025-12-09,shopping,800.0,new shirt purchase
2025-12-10,fuel,200.0,fuel for bike
2025-12-11,travel,8000.0,trip for munnar
2025-12-12,electricity bill,2000.0,monthly electricity bill
2025-12-13,subscription,199.0,netflix subscription
2025-12-14,water bill,400.0,monthly bill for municipal
2025-12-01,food,150.0,lunch with friends
2025-12-02,transport,50.0,bus ticket
2025-12-03,house rent,5000.0,monthly rent
2025-12-04,education,1000.0,online course fee
2025-12-05,entertainment,200.0,movie ticket
2025-12-06,mobile recharge,400.0,monthly recharge
2025-12-07,medical,500.0,doctor consultation
2025-12-08,shopping,900.0,new shirt purchase
2025-12-09,fuel,300.0,fuel for bike
2025-12-10,travel,8000.0,trip for munnar
2025-12-11,electricity bill,2000.0,monthly bill payment
2025-12-12,subscription,199.0,netflix subscription
2025-12-13,groceries,4000.0,monthly grocery shopping
